id,datetime,energy_europe,energy_asia,price_europe,price_asia
2,2024-01-01 01:00:00,109458.85,50300.98,1913.74,860.86
3,2024-01-01 02:00:00,96876.87,30893.92,1374.91,1153.75
4,2024-01-01 03:00:00,81061.44,35965.13,1719.91,1181.46
5,2024-01-01 04:00:00,88817.62,47677.97,1847.54,804.55
6,2024-01-01 05:00:00,112232.77,50944.18,1472.2,908.84
7,2024-01-01 06:00:00,118288.52,40097.84,1274.2,867.7
8,2024-01-01 07:00:00,113899.77,48111.78,1845.7,1310.81
9,2024-01-01 08:00:00,101449.12,59193.47,1502.83,1186.43
10,2024-01-01 09:00:00,113176.19,48555.59,1889.37,1204.15
11,2024-01-01 10:00:00,108182.87,31374.73,1382.32,1002.57
12,2024-01-01 11:00:00,83191.68,36983.73,1280.8,994.58
13,2024-01-01 12:00:00,105427.38,40944.97,1496.14,946.65
14,2024-01-01 13:00:00,90679.11,58099.64,1718.43,1226.39
15,2024-01-01 14:00:00,86845.55,51873.8,1330.72,1065.62
16,2024-01-01 15:00:00,119580.93,49199.99,1645.56,1279.23
17,2024-01-01 16:00:00,113714.08,53280.0,1383.24,822.47
18,2024-01-01 17:00:00,92618.12,38032.23,1368.79,1460.04
19,2024-01-01 18:00:00,115054.71,39440.34,1724.35,1076.94
20,2024-01-01 19:00:00,116581.9,43765.56,1411.9,972.64
21,2024-01-01 20:00:00,102454.73,37882.25,1667.67,1428.48
22,2024-01-01 21:00:00,95976.02,36579.62,1998.03,1156.67
23,2024-01-01 22:00:00,83636.38,31413.49,1287.72,1239.21
24,2024-01-01 23:00:00,111683.17,42664.8,1250.82,1067.13
25,2024-01-02 00:00:00,119844.86,45873.43,1976.86,1402.55
26,2024-01-02 01:00:00,80459.24,51621.65,1745.37,1175.88
27,2024-01-02 02:00:00,90673.01,49228.85,1289.24,1104.34
28,2024-01-02 03:00:00,98148.95,58614.48,1900.68,984.37
29,2024-01-02 04:00:00,100023.44,35359.56,1930.1,1409.36
30,2024-01-02 05:00:00,91937.79,49168.48,1687.18,906.99
31,2024-01-02 06:00:00,110500.43,46181.37,1822.9,1171.25
32,2024-01-02 07:00:00,80022.88,39724.68,1215.58,1450.37
33,2024-01-02 08:00:00,115148.88,54949.97,1446.01,840.55
34,2024-01-02 09:00:00,115120.38,58408.48,1268.52,1140.19
35,2024-01-02 10:00:00,82768.5,52818.06,1812.67,889.87
36,2024-01-02 11:00:00,99011.3,46494.11,1412.05,1410.7
37,2024-01-02 12:00:00,96925.52,36353.95,1631.44,1310.95
38,2024-01-02 13:00:00,88046.04,39351.49,1996.12,1254.91
39,2024-01-02 14:00:00,97524.0,45527.28,1296.8,957.29
40,2024-01-02 15:00:00,93523.42,47649.26,1384.09,954.15
41,2024-01-02 16:00:00,82839.72,48933.09,1383.15,1433.79
42,2024-01-02 17:00:00,114385.42,32125.72,1390.4,1268.28
43,2024-01-02 18:00:00,88569.47,33969.36,1948.41,1199.73
44,2024-01-02 19:00:00,98906.84,53538.58,1846.0,933.29
45,2024-01-02 20:00:00,83877.23,42931.54,1538.86,1126.92
46,2024-01-02 21:00:00,109163.03,50200.94,1987.33,868.89
47,2024-01-02 22:00:00,96104.85,40179.08,1889.34,974.06
48,2024-01-02 23:00:00,87608.36,43458.41,1537.51,994.98
49,2024-01-03 00:00:00,89992.26,57697.97,1554.5,1402.94
50,2024-01-03 01:00:00,102013.01,31517.65,1999.43,1385.22
